Turkish,English
saxon,saxon
atlatmaya,lapse
ışığıyla,with the light
ayy,oops
snyder,snyder
hokage,hokage
hizmete,service
kaldıkları,they remain
anlattığına,told
iştah,appetite
fizyolojik,physiological
adadı,devoted
asırlardır,are the centuries
yayılmaya,spread
meşguller,they are busy
ağırbaşlı,dignified
hatırlattın,you reminded
hesabında,in account
gezinen,navigation
hissettirecekse,If it will make you feel
istemediğimden,that I don't want to
içkimi,uterine
amcama,uncle
inekleri,cows
tıklım,clicked
listen,listen
tabutta,coffin
ellerle,with hands
çıkartan,out
alelacele,hastily
sürüye,to the swarm
diliyle,tongue
gidiyorlardı,they were going to
boşaltıp,navigation
buyruk,command
terliyor,sweating
oruç,fast
istesek,whether
sorumluluklarını,their responsibilities
yaşamamı,to live in
sendeydi,It was on you
çekecekler,they will attract
takımıyla,with his team
gelmişiz,we have come
ihtiyarı,optional
bieber,bieber
jam,jam
fırlattım,I tossed
yapmaktı,was to make
tarçınlı,cinnamon
yaşlanıyor,aging
modunda,in the mode
yenilemek,renovate
barıştık,We're Peace
arkadaştı,It was friends
valentina,valentina
annelerini,her mothers
arkamdaki,behind me
sari,yellow
almaktı,was to take
karamel,caramel
açamam,can't open
bakmalı,should look
döneminin,of the period of
sunshine,Sunshine
selamlayın,greet
gösterge,indicator
faktörü,factor
pasadena,pasadena
kanındaki,in the blood
foton,photon
kokmuyor,does not smell
hester,hester
rozetimi,my badge
gandi,gandi
özrü,apology
edildikten,have been
avlıyor,hunting
sütun,column
şakadan,for fun
yy,YY
açıyla,in angle
kovalayan,chaser
bakabilecek,perplexed
ch565a5d,CH565A5D
unvanı,title
arkadaşlarınızı,your friends
torbayı,baggage
corky,corky
muhatap,interlocutor
camını,her glass
toplanacak,will be collected
kötüyse,If it is bad
nelerle,with whatever
herbie,herbie
ufuk,horizon
koyarken,while putting
kartopu,snowball
diğeriyle,with the other
alımı,reception
fsp-0.045,FSP-0.045
alden,alden
işarettir,is the sign
stay,stay
kaplayan,covering
soydun,have robbed
ırkını,racially
sandalyeleri,chairs
fısıltı,whisper
kokuyorlar,they smell
cemocem,cemocem
sırra,sorrow
kravatını,tie
bombaların,bombs
kruger,kruger
carey,carey
yalanmış,nasal
anlaşmamıza,to our agreement
foto,photo-
kepner,kepner
parçalıyor,it is smashing
parçalarının,of their parts.
öldürtecek,will be killed
soluna,to the left
savaşalım,Let's fight
açılsın,you are opening
videonun,your video
korkman,frightening
bonjour,bonjour
sürerdi,would last
marv,marv
korkutmuş,frightened
önlerine,in front of
yetişen,grown
muhallebi,custard
uzaktaydı,It was far away
müdire,manageress
senator,senator
bardağa,pucker
süveter,sweater
sıcakmış,hot
ödeyebilir,can pay
seyleri,checkout
görüşmüş,discussed
atletizm,athletics
konaklama,accomodation
ke,puber
kireç,lime
başlardım,I started it
vaad,promise
kayma,slip
kralıyım,I am the king
ekin,crop
halkıma,to the people
soktuğun,you have stuck
güveneceğim,I will trust
kullanılmayan,unused
dickinson,dickinson
oynadılar,they played
felsefesi,philosophy
durgunluk,recession
kaçının,avoid
aramayacak,will not be looking for
kesesi,sac
lights,lights
duymuşsun,you have heard of
tereyağlı,buttery
avare,idle
iğreniyorum,I'm disgusted
döndürüyor,returns
unutulmayacak,will not be forgotten
davalarda,in cases
iyiliğiniz,your goodness
birime,to the unit
yalanlarını,lies
ölmüştüm,I have died
bayılıyorlar,they are loving
rem,rem
öldürdüklerini,that they killed
eşcinseller,homosexuals
toyota,toyota
genişletmek,expand
kayar,sliding
ilgileniyorsunuz,you are interested in
canımız,weir
fenerini,lantern
sanmiyorum,I do not think so
çıkarsanız,If you take off the
turizm,tourism
İzlerini,Trace
yaşlanmış,recumbent
giyinin,ing
çalışsan,If you work
aktarıyorum,I'm transferring
başaracağını,will
müdürümüz,our principal
yaşındasınız,You are age
korktunuz,you are scared of
kasim,November
şakaya,That's a joke
cevabınız,your answer
ekmeğin,bread
temizlemesi,cleaning
bã,bir
elmalar,apples
iyilerden,well
yardımcınız,your assistant
ulaştığını,reaching
hayattalar,lifetime
duyacaklar,they will hear
ederdiniz,you would be
sahiptim,I had it
yaptırdığını,have
başlamıyorsun,you are not starting.
yerleştirip,placement
gereğince,in accordance with
yönetmenim,my director
indiğini,descent
içiyorsunuz,you are drinking?
rekabeti,competition
ablamı,sister
planlarda,in plans
kemiğin,of your bone
İhbar,Notice
tutkum,my passion
ustalık,mastery
zaafı,weakness
taşınıyorsun,you are moving
oturumu,session
kapına,at the door
durursa,If it stops
katlandım,I have folded
balkona,balcony
tavşancık,bunny
yatarak,lying
micky,micky
yiyeceğin,your food
dolgu,filling
dövmeleri,tattoos
cevizli,with walnut
etkisinin,the effect of
yaklaştığında,when he approached
neticesinde,at the end
değerim,my worth
azmış,slightly
aptaldım,I was stupid
istemeyeceğin,you will not want to
aktarmak,to transfer
karalama,defamation
yıkıyorum,i wash it
dörtlük,verse
staten,staten
veterinere,to the vet
davranabilir,can behave
farenin,mouse
karlar,snow
deke,deke
edilmekten,from being able to
gittiklerinde,when they go
drill,drill
araştırırken,while investigating
takdiri,discretionary
patatesleri,potatoes
çekmişsin,you have attracted
bankaları,banks
görücü,visible
tıbbı,medical
iskambil,playing cards
yazdığınız,that you are writing
uyari,warning
kaitlin,kaitlin
çocuğuyum,I'm a child
götüremezsin,you can't take it
telefonumdan,from my phone.
çocuğumuzun,our child's
şartsız,unconditional
beraberler,together
getirebilmek,be able to bring
bulldog,bulldog
morning,morning
dizleri,knees
ilgilenmiyorsun,you are not interested in
diyar,land
ulaşabilmek,be able to reach
sakatlık,disability
sorunlarına,to their problems
güldün,you laughed
rezerve,Reserved
sons,sons
çalmıyor,does not play
değiştireceksin,you will replace it
toplayacağız,we will gather
etken,active
arabulucu,mediator
çatının,of the roof.
sırlarımı,my secrets
koparacağım,I will break up
danışmadan,without consulting
zayıflar,weaker
bernardo,bernardo
kazandırmak,bring
kameradan,From camera
yaralanmışsın,you are injured
katılacağını,will attend
olmazsanız,If not
bilmedi,did not know
döktün,spilled
bulamayacağım,I will not find it
dönmezse,If it doesn't turn
archibald,archibald
beline,back
salmış,silly
yazarları,authors
pasha,pasha
umm,umm
satarsın,you sell you
açarsa,If it turns on
bardaklar,glasses
karıştırdığını,stirring
kesmen,cutout
tercihin,your preference
öğrenciyi,the student
sensen,you you
posteri,poster
kuralımız,our rule
kopyalarını,their copies
aisha,aisha
edilene,onto
kabilenin,of the tribe
koyması,putting
firmasında,in the firm
şeyinden,from the thing
kurabiyesi,cookie
fscy140,FSCY140
gidecektin,you going to go
kaosa,chaos
metamfetamin,methamphetamine
koklamak,smell
silecek,wiper
araştırmacılar,researchers
kuklası,puppet
bilirse,If he knows
fırlayıp,lighter
katilden,from the murderer
tecrüben,experience
zorlandı,was forced
jor-el,jor-hand
şirketimizin,of our company
yüzükler,rings
cevaba,reply
yaralılar,wounded
malım,martiness
parçalamış,fragmented
yapıları,structures
vericidir,is transmitter
göbeği,navel
diyarında,in the land of
yaralıları,the wounded
dikkatin,attention
şefinin,chief
yaşıyordun,you were living
kanepeyi,couch
tatlısınız,you are sweet
artırma,increasing
bekleyebilirsiniz,You can wait
grupların,of groups
böldüm,drove
çağırıyorsun,you are calling
söylenene,on
hastalarının,of patients with
alba,alba
günahlarının,of your sins.
köpeksin,you're the dog
blackadder,blackadder
tayfası,spectrum
ekleme,adding
şekersin,you're sugar
keenan,keenan
endişelenmem,I don't worry
görevlisine,to the staff
inanacağım,I will believe in
yetiştirmeye,cultivate
okinawa,Okinawa
hatırlıyorsundur,You are remembering
ürkütüyor,sparing
üniformaları,uniforms
işedim,I have paid
duygusallık,sensuality
mektubum,my letter
fabrikasına,at the factory
diyin,dick
darbeler,stroke
şekerin,sugar
yanılıyorsan,If you are wrong
açıkca,clearly
duyurdu,announced
görevdeki,incumbent
tekmeleyeceğim,I will kick it
n-ne,n-what
işteyim,I am at work
koşacak,will run
açıklamalar,descriptions
alpha60,alpha60
ailelerinden,from their families
sallıyorsun,you waving
sergiliyor,exhibits
benzerliği,similarity
teklifler,proposals
talepleri,demands
satarken,while selling
boğuyor,drowning
parkinson,Parkinson
bakmalısınız,You should look at
düştünüz,you have fallen
mahvettiniz,you have ruined
groot,groot
lowry,lowry
gardiyanı,guard
edinburgh,Edinburgh
kordon,cord
etmemen,whether
koridordaki,corridor
scylla,scylla
evlilikleri,their marriage
değiştirmesini,shifting
değişelim,Let's change
içeriğini,contents
sorularınız,your questions
marisol,marisol
iletti,forwarded
ives,iv
arkandaki,behind
şarkıların,your songs
başlarından,from their heads
atmalıyız,we should throw
bırakamazsınız,You cannot leave
adamdım,I was the man
balkabağım,my pumpkins
kingston,kingston
çıkardığında,when he removed
görebileceğimiz,we can see
bulmuşsunuz,you have found
penisilin,penicillin
akşamdı,evening
ayrılmıyor,does not leave
alete,allete
hesaplama,calculation
kısımlarını,the parts of
güvendeler,they are safe
katarina,catarina
robotun,your robot
karanlıklar,darkness
bürünmüş,wrapped
filmimi,my film
tanışmamıştım,I hadn't met
ateşleyin,fire
sözlere,to the words
oynasın,play
kaçaklar,leaks
lau,lau
konvoyu,convo
eşli,paired
çıkaracaklar,they will remove
kürklü,furry
imparatorluğun,of the empire.
oraları,rather
artıkları,residuals
orpheus,orpheus
sayalım,lets count
augustine,Augustine
goblin,goblin
endişelenmeli,should be worried about
önerebilirim,I can suggest
kaybedeceğini,losing
battım,I sank
believe,believe
hükümlü,convict
yırttım,tore
civciv,Chick
hücreyi,cell
gözükmek,seem
evlendiğin,your married
işleten,operating
really,really
sınavında,in the examination of
prestijli,prestigious
koymuşsun,you have put in
pro,pro
şaban,plow
alanlarını,their fields
makinesinden,from the machine
mükemmellik,excellence
hari,hari
doktorunun,your doctor's
beyninden,brain
abbas,abbas
yapmalıydın,you should have done
aldıklarında,when they receive
etmemeliydim,I should not have to
medina,medina
çağıracağız,we will call
heavy,heavy
gerektirmez,do not require
alcatraz,alcatraz
duyuldu,heard
yalayıp,licking
İlerde,Ahead
hislerine,to their feelings
yenmeye,to eaten
kafasız,headless
incelemeyi,examination
buradaydık,we were here
yaratıp,creating
tevazu,humility
ulysses,Ulysses
yetişmiş,grown
otoriter,authoritarian
karşılaşacak,will encounter
amcayı,uncle
önlemeye,prevention
hissetmiyordum,I was not feeling
yaşlıydı,it was old
yolcusu,passenger
çişimi,prospectus
gideceğiniz,you are going to go
sparks,sparks
başbelası,Trouble-maker
açıklandı,announced
sıçanı,rat
makinesiyle,with the machine
bulunduğunda,When it is found
sorumludur,is responsible for
değİl,not
sinirlerin,your nerves
tütsü,incense
mısırlılar,Egyptians
baskıcı,oppressive
sandviçler,sandwiches
acıların,of pain
kıvır,curly
moralimi,morale
bozulmuştu,It was impaired
uykusuna,sleepy
suçuyla,on
misafirlerin,your guests
yarasın,wound
ağzınla,with your mouth
öğrenirsen,If you learn
velayeti,custody
elemana,element
malezya,Malaysia
incinmiş,hurtful
içgüdü,instinct
gerekçesiyle,on the grounds
jupiter,Jupiter
eşkıya,bandit
biletiniz,Your ticket is
korkarak,afraid
korumalısın,you are protected
vardiyam,my shift
bilmiyorsundur,you are not knowing
teorisine,to the theory of
room,room
ücretleri,charges
görülmeye,visual
yapılar,buildings
yandık,we burned
sattığım,I have sold
almanıza,to obtain
entellektüel,intellectual
johns,Johns
heybetli,imposing
saniyenin,of the second
direktörü,director
savaşıyorsun,you are fighting
otellerde,In hotels
wessex,wessex
ödeyeceğini,that you will pay
pisliklerini,his scumbags
birbiriniz,each other
garsona,waiter
friends,friends
jan.,jan.
üstlendi,undertook
tanıtmama,not to introduce
pençelerini,their claws
figür,figure
sürprizler,surprises
suzaku,suzaku
kıtanın,the continent
temizledin,you have cleared
çocukluğumda,In my childhood
mercury,mercury
yargılamaya,judgment
alabileceğimiz,we can receive
konuşmamızın,of our conversation
sur,surrogate
ayakkabılarla,with shoes
yakınları,relatives
stand,stand
koko,koko
içtiğimi,that I drink
evrimin,evolution
alkoliğim,my alcohol
şefimiz,our chief
keep,kep
mako,maco
çelişkili,contradictory
koşturup,riding
reform,reform
dövmeler,tattoos
kurtarmakla,recover
sorusunu,the question of
edi,edi
unutmazsın,you don't forget
sorunlarımı,my problems
kaypak,slippery
sikip,fucking
hamlede,mover
meslektaşlarım,my colleagues
bır,one
adamlarınızı,your men
kullandıklarını,that they use
yüzsüz,shameless
tadında,flavored
bayılırsın,you faint
milimetrelik,millimetter
kurulunda,on the board
oynayabilirim,I can play it
valentin,valentin
ağacına,to the tree
keten,linen
isteyebiliriz,we can ask for
seçeceksin,You will choose
tutsan,gravity
baltar,Baltar
edmond,edmond
gazını,veteran
ilgiye,inquiry
haklarına,to their rights
gustavo,gustavo
başaramazsın,you can't make it
tino,tino
larını,ls
şişt,schist
broad,broad
excalibur,excalibur
five,five
silva,silva
söylemeyeceğiz,we will not say
davranışını,your behavior
yüreğimi,my heart
etienne,etienne
sızdırıyor,leaking
uyandırmaya,arousing
hissetmedin,you didn't feel
trina,trina
basmaya,pressing
gerçekleştiğinde,when it takes place
metali,metal
dokunuşu,touch
şanslıydın,you were lucky
şarkın,song
kutudaki,in the box
hararetli,heated
manolo,manolo
koruduğun,that you have maintained
değerlendirmeye,assessment
kurtulamadı,Failed to survive
numaraların,your numbers
sokacağız,we will sting
heyet,committee
aletim,my dick
oynamanın,of playing.
yaklaşıyorsun,you are approaching
mesleğim,my job
öbürü,the other
restaurant,restaurant
dinlersin,you listen to
balboa,balboa
işbirliğine,cooperative
fırsatınız,your opportunity
mutsuzum,my unhappy
bakmıyoruz,We are not looking at
öndeyim,I'm ahead of
hesaplaşma,reckoning
tanımıyormuş,not knowing
büyütmeye,enlargement
jabbar,jabbar
piller,batteries
görebilirler,they can see
casa,Casa
vurmaktan,from hitting
yazının,of the article
jnrmnt,jnrmnt
doyurmak,feed
çarpmadan,bumpy
büyüdüğümde,When I grow up
be2,be2
şarkıcısı,singer
görmeyeyim,I would not see
trenleri,trains
siktin,fuck
zenginsin,you are rich
istemeyeceğini,that you will not want to
scotch,scotch
saklayabilir,can hide
malia,malia
üstündeyken,While at the top of the
sönüyor,extinguishing
yakacağız,we will burn
kurtulabiliriz,we can get rid of
toplanır,gathering
karıştırıyorsunuz,you are stirring
rachael,rachael
yatıralım,lets invest
konuşmacı,speaker
korktuk,we were afraid
yapamadığım,I can't do it
kongresi,congress
konuşmayız,we don't talk
bolluk,abundance
olmanızın,that you are to be
karılar,wives
kafatasına,skull
pisliklerin,your scumbags
alabilirsem,If I can get it
besler,nourishes
öyleyimdir,It is that it is
bedenler,sizes
yuvadan,from the nest
gitmemek,not to go
aydınlığa,luminous
xbox,xbox
radyasyonu,radiation
endişesi,concern
lezzetlidir,tasty
tüpleri,tubes
lab,labyrinth
patlamaları,outbursts
bedenime,to my body.
telefonumda,on my phone
arzusunu,the desire of
bulunduk,we have been to
farkını,spectacular
delidir,crazy
yağmura,to the rain
kalabilirler,they may remain
demokratlar,Democrats
manzaranın,the landscape
yapılmasına,conducted
gideceğinizi,you're going to go
heriflere,to the fuckers
anlarında,in their moments
çıkarabilecek,able
elder,elder
sürükledin,dragged
fahişelerle,with whores
çatalı,fork
find,find
dönüştüm,I have turned into
ahali,faithful
algılıyorum,I perceive
tulum,overalls
uykudan,asleep
inmez,descendant
dizginleri,reins
vatanseverlik,patriotism
sisli,foggy
şirinler,Smurfs
gönderdikleri,they send
başlatacak,will initiate
yapmasak,whether
istemelisin,you should want to
okursun,you read
birkhoff,birkhoff
soyguncular,robbers
kızmıştı,he was angry
mer,mer
cecile,cecile
göremeyeceğiz,We will not be able to see
düşeriz,we fall
hayatlarınızı,your lives
kaybetmeyeceksin,You won't lose
bitebilir,may end
yaslanın,lean
götürdüklerini,that they have taken
tanımlayan,identifying
anarşi,anarchy
kırıntıları,crumbs
asılacak,will be hung
aramızın,of us.
selamlıyorum,I'm greeting
tatilini,your vacation
konuşabilecek,able to talk
dansına,dancing
isobel,isobel
donnell,donnell
ülkemin,my country
tiberius,tiberius
bölüyor,divides
zorlaştırıyorsun,you make it difficult
hiçbirinizin,of none of your
gösteriyoruz,We are showing
şikayetim,my complaint
ayakkabılarınızı,your shoes
genişliğinde,width
oyunundan,from the game
bağladılar,they tied up
isis,isis
göndermemi,sender
tarlaları,their fields
dinleyeyim,let me listen to
konuşulan,spoken
senetleri,the bills
oynuyordun,you were playing
rambaldi,rambaldi
oluşturduk,We have created
pasaportun,your passport
övgüler,compliments
hayatlarımızın,of our lives.
duramıyor,unable to stop
kalbimdeki,in my heart
çılgınsın,you are crazy
sıkacağım,I will squeeze
boyayı,dye
ayarlayacak,will set up
kalçalar,hips
unuttular,They forgot
karıştırmayın,Do not confuse
çıkaramaz,unable to extract
yakalandığını,caught
ülkesinin,of the country of
algı,perception
taahhüt,commitment
idama,execution
azalmış,decreased
çözücü,solvent
fırtınayı,storm
zannediyorsunuz,you are in mind
better,better
omuzlarına,to their shoulders
kalkıyoruz,We are getting up
yapmamayı,not to do
ağaçlardan,trees
bane,bane
asfalt,asphalt
hoşlanmadığımı,that I don't like
vizyon,vision
şatafatlı,gaudy
duymuşlar,they heard
İstasyonda,At the station
yürütmeye,executive
dolunayda,in the full moon
yakabilir,may burn
bulgu,finding
ateşlisin,you're hot
yolculuktu,It was journey
kurbanının,of the victim of
kaynaklarımızı,our resources
seversen,If you love
lobo,lobo
shiro,shiro
anlamazlar,they do not understand
enerjim,my energy
kardeşlerimiz,our brothers
seminer,seminar
seçildin,you have been selected
isır,Bite
boğulmak,drown
water,water
toplamı,sum
ediliyoruz,we are being being
paranormal,paranormal
kurtarıyorsun,you are saved
ziyaretçisi,visitor
tahttan,throne
kategori,category
bankasına,to the bank
korktular,they were frightened
panel,panel
kötürüm,crippled
yaklaşmıştım,I was approached
İzi,Trail
hastalıkla,disease
yollayacağız,we will ship
geleceklerdir,they are future
duygulara,to feelings
dondur,turn
tutulma,eclipse
inmem,ing
öpücükler,kisses
hesabımı,my account
destekle,supporting
düğümü,node
michaela,michaela
devralıyorum,I take over
saldı,released
bırakmalısınız,You should leave
gelenektir,is the tradition
kabini,cabinet
çekiyormuş,he is attracted to
helikopterin,helicopter
suçluyorlar,they are blaming
yazmıyorsun,you are not writing
girersek,entered
gerçeğim,my truth
ecstasy,ecstasy
sağladılar,they provided
bahislerinizi,your bets
konuşmazdı,wouldn't talk to
azında,at
meadows,meadows
sürdük,we rode
sivillerin,of civilians
ehli,sophisticate
menüsü,menu
paralarla,coins
lancaster,lancaster
sürenin,the period of time
umesato,umesato
hikâyelerini,stories
ihtiyaci,literal
çöpçü,scavenger
kıskançlıktan,jealousy
alphaff,alphaff
oturuyormuş,Sitting
basından,from the press
bağışlasın,May you forgive
kanıtlamam,I have prove
öğrenciye,to the student
almazdım,I would not receive
kurtarmalıyım,I have to save
güncelleme,update
kollayın,sleek
düzenlendi,Edited
birisisin,you're one
unutman,forget
oynadığımı,that I played
olamazdık,we could not be
uyandırdığım,I have aroused
mahvedebilir,can ruin
sansasyonel,sensational
subayları,officers
jez,jez
akustik,acoustic
iå,IÅ
bulunmuştur,has been found
doğulu,Eastern
değiştirmelisin,You have to replace
islah,improvement
tetiğe,trigger
getirisi,return
dresden,Dresden
nance,nance
vazgeçirmeye,giving up
kitaplarımı,my books
karteli,cartel
gönderilmesi,submission
onaylamıyorum,I'm not confirming
oui,oui
forest,forest
çarp,multiply
gelişmesi,development
annabel,annabel
durabilirsin,you can stop
uzayı,space
vermemeliyiz,We should not give
sahteydi,he was fake
keşfetmeye,to discover
seyrettin,watching
öğreneyim,let me know
tekmelemek,kick
kırılıyor,it is breaking
İlişkileri,Their relationship
colton,colton
toplantın,you're gathering
yanılsama,illusion
sincaplar,squirrels
clovis,clovis
korurken,while you are maintaining
görünürsün,you visible
kalacağımızı,We will remain
bırakırsa,If it leaves
divxplanet,DivXPlanet
turnuvada,in the tournament
insin,you're inin
hubbard,hubbard
dönemini,era
süzülen,filtered
dipsiz,bottomless
tt,tt
birincilik,first
bilimler,Sciences
adımız,our steps
getirdiğimiz,we brought
olaylarda,in events
sormanız,you to ask
almamak,avoid
naçizane,naughty
götürürsen,If you take it
anastasia,anastasia
bedford,bedford
hayaletli,haunted
dökülecek,pouring
İsterse,If he wants
öğretmenine,to the teacher
rolümü,my role
evlendiğimizde,When we get married
şahitler,witnesses
konuşacağımı,I will talk to
yolculuğunda,on the journey of
zoruyla,hardly
dayağı,stretching
kralını,king
başlatmaya,launching
haşat,harvest
atınca,unless
çözümler,Answers
ağırdı,it was heavy
korsanı,pirate
christmas,christmas
avluya,courtyard
topher,topher
hissetmeyi,to feel
tonda,toned
telefonumun,of my phone.
dönüştürüyor,converts
yanyana,side by side
daedalus,daedalus
cardiff,Cardiff
teknem,my boat
sürecinin,of the process of
dönmemek,not to return
yiyeceğe,to the food
gayrı,non
sırasını,the order of
sağına,to the right
yazıyormuş,he is writing
değiştirmedi,has not replaced
içersiniz,you drink
dönüşmek,convert
yazılarını,their writing
arkamıza,to our back
dover,dover
semptomlar,symptoms
kundakçılık,arson
aptaldır,is stupid
yakışmaz,fantastic
shifu,shifu
beklenti,expectation
toplantılarına,to their meetings
adamıyla,with his man
bisikletim,my bike
istemekten,wanting
mahvolacak,will be ruined
yordu,tired
kitaplarından,from their books
götürürler,they take away
ödeşme,settlement
dışardaki,outside
alıcam,I will take
kurarız,we build
isteyeceğimi,I will ask for
anayasal,constitutional
rolleri,roles
kapılıp,grabbed
körüm,my blind
antwon,antwon
demiyoruz,we do not say
kakashi,kakashi
değillermiş,they are not
feryat,bellow
psikotik,psychotic
inandığımız,we believe in
bükme,bending
yeğenimi,my niece
güvenceye,reassured
sağlayacaksa,If it is to provide
omzunu,shoulder
kocaayak,husky
mobile,mobile
kadınsınız,you are the woman
halledebilirsin,you can handle it
daldın,you dive
evindeyim,I'm at home
abidesi,brother
sorgusuz,query
güldürüyor,it makes it laugh
umduğumuz,we have hoped
dışındaydı,was out of the
dayanamıyor,can't stand
çalıştırdı,has run
sıkıştırıyor,compresses
bacağının,of the leg.
okyanuslar,oceans
memlekette,in the hometown
fenton,fenton
rã,rÃ
İlacın,Your medicine
claudio,claudio
yapmamıştır,has not done it
trinity,trinity
tartışıyor,discussing
yakınsınız,You are close to
siteyi,the site
frida,friday
yaklaşmakta,approaching
efendiler,sir
duruyorlardı,they were standing
patlamasına,burst
hakkıyla,the right
kompozisyon,composition
radio,radio
kuzeyi,north
pancar,beet
müsabaka,competition
marketin,the grocery store
oyalanma,distraction
hissederek,feeling
açılabilir,openable
çizerek,by drawing
planlamıştım,I have planned
saldırısında,in the attack of
boyutuna,in size
çakmağı,lighter
tiyatronun,your theater
düşünürsem,If I think of
erdiğini,ferret
eğin,tilt
bingley,bingley
hesapladım,calculated
pantolonlar,pants
abbs,abbs
turtayı,pie
vazgeçmez,unsubstantiated
cabo,Cabo
ruhlara,souls
mean,Mean
çoluk,puppy
sağlayarak,by providing
yabancıyı,stranger
değiştirmişler,They have changed
gitmezsek,If we don't go
sunun,presentation
doom,doom
parçalarından,from their parts
şamata,hubbub
uzamış,prolonged
doğudaki,east
hokeyi,hockey
brook,Brook
klimayı,air conditioner
veremeyecek,unable to give
roswell,roswell
şartlara,circumstances
peruğu,wig
görüntüleme,imaging
sırtüstü,supine
düet,duet
pelant,pelts
çoğunuzun,of most of you.
metodu,methode
belim,my waist
kazanamayız,We cannot win
botlarını,their boots
gelenle,incoming
kahlan,kahlan
moose,moose
depozito,deposit
düşecekler,they will fall
sikici,boring
yapısına,to the structure of
güvenmeni,relying
kolluyor,collapses
cumartesileri,Saturdays
uyduları,satellite
volta,voltage
poposunu,herbage
massey,massey
birch,birch
bisikletli,bicycle
takımdaki,in the team
yiyemez,unable to eat
yaşıyorlardı,were living
strike,strike
seferkini,sepulcher
sonsuzluğa,to infinity
atandı,appointed
verseler,verses
cezam,pencil
vereceğimizi,that we will give
kovac,kovac
imajını,your image
elsie,elsie
öğretmiş,taught
buluştuğu,where he met
kısmın,of the portion of
horizon,horizon
vıcık,cowardly
ölemem,I can't die
soruyoruz,We are asking
natsu,natsu
hızlandırıcı,accelerator
varsayımsal,hypothetical
evimizden,from our house
evİ,the House
dinlesen,dietary
üzümlü,grapatic
aklımızı,our minds
ödeşmek,pound
yolculuğunun,of the journey of
günündesin,you're your day
every,every
caddesindeki,in the street
bindir,is one thousand
sönen,exhausted
rocket,rocket
alta,alta
snotlout,snotlout
edermiş,at
parçasıyla,part of
beka,lodge
yöntemiyle,with the method of
nakliyat,transportation
insanlarım,my people
savaşmalıyız,we should fight
nimet,blessing
evdeydi,he was at home
bişi,bijune
dişlerine,to their teeth
unutmayacağız,We will not forget
desteklemeye,to support
ric,ric
değişmeyen,unchanging
inzivaya,secluded
vesileyle,on the occasion
giysilerin,of clothing
tutkun,phantom
İşinizin,Of your business.
davranıyordum,I was treating
sallan,shake
saygınlık,prestige
sapıklar,perverts
avi,avi
giymelisin,You should wear
kree,kree
korumuş,protected
laboratuvardan,laboratory
çalışmasının,of the study of
şaşkınım,I am surprised
yoldu,was the way
böbreğini,herbel
tanıştığımızdan,Since we meet
aptalların,your dummies
çiğnedi,chewed
planımın,of my plan.
uğrayabilir,may stop by
inişe,descent
dağıtıyorsun,you are deploying
karşılayamam,can't afford
yanımdasın,you're on my side
yapanların,of those who do
esin,inspiration
paketle,package
kesmeni,cutout
çıkaramazsın,you can't get it off
dostuna,fellow
bombalı,bombed
kanıtlarla,with evidence
yaptığımızın,that we are doing
okurdu,He used read
scorpion,scorpion
çırpıda,snap
doluymuş,stuffed
noir,noir
oluş,coherence
çıkmamıza,to our dating
yakılmış,incapable
kıyafetimi,my clothes
görürken,while seeing
bölgelerine,to their area
tanıdığınızı,that you have known
fuji,fuji
kaybetmedi,did not lose
kaynağıdır,is the source of
joffrey,jobfrey
tuzakları,traps
kalıyormuş,remaining
banyonun,of the bathroom
beyinlerini,your brains
müzikler,musics
ödemeni,your payment
ziyaretçilerin,of visitors.
bahsettik,We have mentioned
kapaklarını,their covers
gösteremem,I can't show it
uzanın,extended
penaltı,penalty
inanırsın,you believe in
düşünüyordunuz,you were thinking about
üretmeye,producing
recep,Recep
mideni,stomach
meselâ,for example
ilginiz,your interest in
izlersin,you're watching
arayış,quest
margaux,margaux
tanışmamış,unmeased
cıva,mercury
bitap,exhausted
tavsiyeni,advantage of
tiyatroyu,theater
eastwood,Eastwood
ziyarette,in visit
yardımcısını,his assistant
bulls,bulls
zimmetine,zymeter
dairemi,apartment
koyarsak,If we put in
kahvem,my coffee
hazırlıyordum,I was preparing it
dilli,tongue
çıldırmak,go crazy
zamane,timeserver
edileceksin,You will be able to be
fahişelere,to whores
karnıma,to my belly
bildiğime,that I know
tulsa,tulsa
inceliyoruz,We examine
üşümüş,cold
tasdik,attestation
katarsak,add
kaydediyorum,I'm saving
dağıttım,I have distributed
bennie,bennie
yaklaşımı,approach
makinelerin,of machinery
mun,mun
cause,causes
arif,Arif
heaven,heaven
kayıtlarının,of their records.
tuttukları,they are holding
atılıyor,it is thrown
buralardayım,I'm around here
walton,walton
marry,marry
pastırmalı,bacon
dostunun,the friend of your friend.
sonlarına,to the ends of
partimiz,our party
uçtuğunu,that you fly
batımında,at the sunset
hareketlerinin,of their movement.
aldo,Aldo
kağıtta,paper
onaylanmış,confirmed
mcdeere,McDeere
çalıyorsunuz,you are playing
sunacağız,We will offer
saklayalım,Let's keep it
dinlediğim,I'm listening to
özenli,attentive
kesmeden,without cutting
havuzdan,from the pool
kamış,reed
string,string
kapasitede,in capacity
hissederler,they feel
suçlandı,accused of
takıldın,you're plugged in
soygunda,in the robbery
sömestr,semester
olduguna,in
vaktidir,It is the time of time
gitmemin,gait
odalarını,their room
cinayetlerden,murders
baharın,Spring
zayiat,casualties
